Date;Energie journalière (MWh)
01/01/2021;1516211
02/01/2021;1624051
03/01/2021;1604040
04/01/2021;1814433
05/01/2021;1871208
06/01/2021;1870690
07/01/2021;1891710
08/01/2021;1892568
09/01/2021;1797795
10/01/2021;1748879
11/01/2021;1923373
12/01/2021;1867717
13/01/2021;1725515
14/01/2021;1677522
15/01/2021;1737075
16/01/2021;1714908
17/01/2021;1569832
18/01/2021;1757740
19/01/2021;1769207
20/01/2021;1679294
21/01/2021;1620058
22/01/2021;1610931
23/01/2021;1560476
24/01/2021;1574090
25/01/2021;1746224
26/01/2021;1833937
27/01/2021;1750386
28/01/2021;1585952
29/01/2021;1503597
30/01/2021;1401869
31/01/2021;1367031
01/02/2021;1517848
02/02/2021;1484396
03/02/2021;1475617
04/02/2021;1505853
05/02/2021;1469077
06/02/2021;1371699
07/02/2021;1419442
08/02/2021;1705738
09/02/2021;1797436
10/02/2021;1823674
11/02/2021;1884678
12/02/2021;1898044
13/02/2021;1810721
14/02/2021;1733901
15/02/2021;1747922
16/02/2021;1637071
17/02/2021;1535046
18/02/2021;1548792
19/02/2021;1487762
20/02/2021;1295090
21/02/2021;1226265
22/02/2021;1386949
23/02/2021;1347290
24/02/2021;1315720
25/02/2021;1328361
26/02/2021;1361037
27/02/2021;1314874
28/02/2021;1286643
01/03/2021;1425858
02/03/2021;1430509
03/03/2021;1414089
04/03/2021;1415762
05/03/2021;1471942
06/03/2021;1400681
07/03/2021;1365446
08/03/2021;1518900
09/03/2021;1541805
10/03/2021;1545399
11/03/2021;1456329
12/03/2021;1450844
13/03/2021;1351284
14/03/2021;1324470
15/03/2021;1482397
16/03/2021;1497336
17/03/2021;1502481
18/03/2021;1551466
19/03/2021;1548935
20/03/2021;1434757
21/03/2021;1383844
22/03/2021;1507778
23/03/2021;1460744
24/03/2021;1401391
25/03/2021;1364077
26/03/2021;1355399
27/03/2021;1241492
28/03/2021;1174036
29/03/2021;1247822
30/03/2021;1198413
31/03/2021;1165840
01/04/2021;1151940
02/04/2021;1143068
03/04/2021;1118481
04/04/2021;1106725
05/04/2021;1172331
06/04/2021;1412120
07/04/2021;1481011
08/04/2021;1422320
09/04/2021;1344598
10/04/2021;1205310
11/04/2021;1209845
12/04/2021;1408505
13/04/2021;1412356
14/04/2021;1401605
15/04/2021;1409744
16/04/2021;1411868
17/04/2021;1272118
18/04/2021;1195958
19/04/2021;1294558
20/04/2021;1265467
21/04/2021;1235960
22/04/2021;1207807
23/04/2021;1168014
24/04/2021;1035019
25/04/2021;994267
26/04/2021;1158125
27/04/2021;1178046
28/04/2021;1190976
29/04/2021;1218023
30/04/2021;1222714
01/05/2021;1089873
02/05/2021;1092667
03/05/2021;1229018
04/05/2021;1245533
05/05/2021;1242293
06/05/2021;1281972
07/05/2021;1223957
08/05/2021;1027277
09/05/2021;953767
10/05/2021;1104997
11/05/2021;1152885
12/05/2021;1170715
13/05/2021;1055016
14/05/2021;1102356
15/05/2021;1066107
16/05/2021;1030592
17/05/2021;1175707
18/05/2021;1198167
19/05/2021;1203259
20/05/2021;1191418
21/05/2021;1170416
22/05/2021;1062400
23/05/2021;999632
24/05/2021;1058348
25/05/2021;1191857
26/05/2021;1198007
27/05/2021;1160230
28/05/2021;1109578
29/05/2021;974009
30/05/2021;915439
31/05/2021;1058527
01/06/2021;1085206
02/06/2021;1092609
03/06/2021;1095069
04/06/2021;1082523
05/06/2021;958915
06/06/2021;912604
07/06/2021;1064759
08/06/2021;1090809
09/06/2021;1100855
10/06/2021;1107370
11/06/2021;1100991
12/06/2021;983907
13/06/2021;930985
14/06/2021;1102737
15/06/2021;1138429
16/06/2021;1152827
17/06/2021;1138091
18/06/2021;1113098
19/06/2021;992934
20/06/2021;927616
21/06/2021;1076263
22/06/2021;1097625
23/06/2021;1100860
24/06/2021;1093354
25/06/2021;1078675
26/06/2021;968253
27/06/2021;925849
28/06/2021;1076252
29/06/2021;1098084
30/06/2021;1100064
01/07/2021;1100968
02/07/2021;1099478
03/07/2021;979939
04/07/2021;926210
05/07/2021;1085043
06/07/2021;1107975
07/07/2021;1104492
08/07/2021;1102009
09/07/2021;1090992
10/07/2021;978013
11/07/2021;924846
12/07/2021;1080017
13/07/2021;1091750
14/07/2021;972041
15/07/2021;1081466
16/07/2021;1077462
17/07/2021;974109
18/07/2021;934141
19/07/2021;1103558
20/07/2021;1134065
21/07/2021;1140827
22/07/2021;1145665
23/07/2021;1128705
24/07/2021;992761
25/07/2021;933832
26/07/2021;1072761
27/07/2021;1099175
28/07/2021;1089799
29/07/2021;1085098
30/07/2021;1062587
31/07/2021;953576
01/08/2021;891540
02/08/2021;993299
03/08/2021;1013932
04/08/2021;1010253
05/08/2021;997244
06/08/2021;984139
07/08/2021;906250
08/08/2021;863845
09/08/2021;963660
10/08/2021;992976
11/08/2021;1013407
12/08/2021;1027756
13/08/2021;1032296
14/08/2021;973086
15/08/2021;916595
16/08/2021;992113
17/08/2021;1011112
18/08/2021;1020060
19/08/2021;1024247
20/08/2021;1028663
21/08/2021;957736
22/08/2021;910847
23/08/2021;1037411
24/08/2021;1056138
25/08/2021;1064851
26/08/2021;1079795
27/08/2021;1065989
28/08/2021;962805
29/08/2021;923043
30/08/2021;1076143
31/08/2021;1107637
01/09/2021;1115920
02/09/2021;1115595
03/09/2021;1103101
04/09/2021;985313
05/09/2021;943912
06/09/2021;1105546
07/09/2021;1134004
08/09/2021;1133194
09/09/2021;1126150
10/09/2021;1104246
11/09/2021;977308
12/09/2021;929262
13/09/2021;1087319
14/09/2021;1121795
15/09/2021;1124085
16/09/2021;1113051
17/09/2021;1092508
18/09/2021;976526
19/09/2021;928526
20/09/2021;1079292
21/09/2021;1101667
22/09/2021;1106969
23/09/2021;1110371
24/09/2021;1097375
25/09/2021;984191
26/09/2021;928029
27/09/2021;1088915
28/09/2021;1118725
29/09/2021;1130583
30/09/2021;1143096
01/10/2021;1144335
02/10/2021;1030489
03/10/2021;984116
04/10/2021;1137136
05/10/2021;1175063
06/10/2021;1196319
07/10/2021;1197778
08/10/2021;1177488
09/10/2021;1055769
10/10/2021;1023615
11/10/2021;1190156
12/10/2021;1237359
13/10/2021;1244519
14/10/2021;1270905
15/10/2021;1254779
16/10/2021;1135297
17/10/2021;1097036
18/10/2021;1236630
19/10/2021;1207555
20/10/2021;1201427
21/10/2021;1217207
22/10/2021;1258251
23/10/2021;1155854
24/10/2021;1133239
25/10/2021;1276618
26/10/2021;1283741
27/10/2021;1285295
28/10/2021;1286300
29/10/2021;1258839
30/10/2021;1137307
31/10/2021;1069223
01/11/2021;1128511
02/11/2021;1319672
03/11/2021;1384175
04/11/2021;1446040
05/11/2021;1449045
06/11/2021;1365381
07/11/2021;1290913
08/11/2021;1440712
09/11/2021;1495224
10/11/2021;1527736
11/11/2021;1369552
12/11/2021;1425062
13/11/2021;1291129
14/11/2021;1232649
15/11/2021;1454745
16/11/2021;1501309
17/11/2021;1498957
18/11/2021;1507537
19/11/2021;1498997
20/11/2021;1397132
21/11/2021;1374119
22/11/2021;1579257
23/11/2021;1633041
24/11/2021;1646820
25/11/2021;1662620
26/11/2021;1670160
27/11/2021;1568444
28/11/2021;1567723
29/11/2021;1766291
30/11/2021;1791161
01/12/2021;1681025
02/12/2021;1721936
03/12/2021;1763759
04/12/2021;1512187
05/12/2021;1525450
06/12/2021;1694212
07/12/2021;1715045
08/12/2021;1719686
09/12/2021;1760043
10/12/2021;1732414
11/12/2021;1593756
12/12/2021;1486278
13/12/2021;1627815
14/12/2021;1683915
15/12/2021;1684905
16/12/2021;1676879
17/12/2021;1671610
18/12/2021;1563856
19/12/2021;1551427
20/12/2021;1740022
21/12/2021;1804148
22/12/2021;1851723
23/12/2021;1706812
24/12/2021;1470994
25/12/2021;1287070
26/12/2021;1292615
27/12/2021;1391768
28/12/2021;1384191
29/12/2021;1331642
30/12/2021;1268323
31/12/2021;1281165
01/01/2022;1209642
02/01/2022;1257035
03/01/2022;1430494
04/01/2022;1494954
05/01/2022;1643559
06/01/2022;1742229
07/01/2022;1737353
08/01/2022;1561879
09/01/2022;1498820
10/01/2022;1672685
11/01/2022;1744376
12/01/2022;1803657
13/01/2022;1834730
14/01/2022;1854926
15/01/2022;1748908
16/01/2022;1696122
17/01/2022;1792424
18/01/2022;1802427
19/01/2022;1798724
20/01/2022;1771979
21/01/2022;1806431
22/01/2022;1688385
23/01/2022;1618849
24/01/2022;1797298
25/01/2022;1866899
26/01/2022;1881065
27/01/2022;1859151
28/01/2022;1783304
29/01/2022;1609864
30/01/2022;1490589
31/01/2022;1681410
01/02/2022;1724332
02/02/2022;1614697
03/02/2022;1622915
04/02/2022;1597088
05/02/2022;1490728
06/02/2022;1476746
07/02/2022;1558335
08/02/2022;1596969
09/02/2022;1588659
10/02/2022;1580265
11/02/2022;1601823
12/02/2022;1544942
13/02/2022;1457529
14/02/2022;1553261
15/02/2022;1608172
16/02/2022;1564560
17/02/2022;1460743
18/02/2022;1442508
19/02/2022;1404573
20/02/2022;1349059
21/02/2022;1524556
22/02/2022;1531056
23/02/2022;1493674
24/02/2022;1518429
25/02/2022;1553132
26/02/2022;1457123
27/02/2022;1422097
28/02/2022;1537550
01/03/2022;1534329
02/03/2022;1515424
03/03/2022;1480706
04/03/2022;1477987
05/03/2022;1401793
06/03/2022;1402554
07/03/2022;1615580
08/03/2022;1611455
09/03/2022;1523844
10/03/2022;1463840
11/03/2022;1454614
12/03/2022;1339516
13/03/2022;1314636
14/03/2022;1445868
15/03/2022;1414143
16/03/2022;1396689
17/03/2022;1424209
18/03/2022;1436905
19/03/2022;1286394
20/03/2022;1230170
21/03/2022;1330093
22/03/2022;1330693
23/03/2022;1335399
24/03/2022;1321280
25/03/2022;1275251
26/03/2022;1140575
27/03/2022;1079653
28/03/2022;1209135
29/03/2022;1232632
30/03/2022;1284157
31/03/2022;1380271
01/04/2022;1563020
02/04/2022;1504758
03/04/2022;1448987
04/04/2022;1556410
05/04/2022;1485973
06/04/2022;1431441
07/04/2022;1402344
08/04/2022;1397245
09/04/2022;1299115
10/04/2022;1234978
11/04/2022;1299350
12/04/2022;1249136
13/04/2022;1231905
14/04/2022;1188691
15/04/2022;1128047
16/04/2022;1008228
17/04/2022;956539
18/04/2022;982891
19/04/2022;1142028
20/04/2022;1181002
21/04/2022;1173510
22/04/2022;1142330
23/04/2022;1050484
24/04/2022;1021019
25/04/2022;1162756
26/04/2022;1175334
27/04/2022;1161644
28/04/2022;1146018
29/04/2022;1122307
30/04/2022;1012668
01/05/2022;952008
02/05/2022;1102923
03/05/2022;1133397
04/05/2022;1143805
05/05/2022;1149233
06/05/2022;1133347
07/05/2022;1000541
08/05/2022;943093
09/05/2022;1085146
10/05/2022;1101327
11/05/2022;1101761
12/05/2022;1102382
13/05/2022;1089549
14/05/2022;975145
15/05/2022;921540
16/05/2022;1072785
17/05/2022;1105131
18/05/2022;1120096
19/05/2022;1117401
20/05/2022;1100035
21/05/2022;981242
22/05/2022;931871
23/05/2022;1077003
24/05/2022;1079157
25/05/2022;1084616
26/05/2022;965973
27/05/2022;1001517
28/05/2022;952083
29/05/2022;913028
30/05/2022;1071694
31/05/2022;1099471
01/06/2022;1105360
02/06/2022;1107867
03/06/2022;1097345
04/06/2022;983973
05/06/2022;913937
06/06/2022;953010
07/06/2022;1079111
08/06/2022;1095121
09/06/2022;1092583
10/06/2022;1090901
11/06/2022;982749
12/06/2022;936594
13/06/2022;1086361
14/06/2022;1125814
15/06/2022;1152117
16/06/2022;1161760
17/06/2022;1165751
18/06/2022;1058154
19/06/2022;977729
20/06/2022;1115059
21/06/2022;1134366
22/06/2022;1133178
23/06/2022;1126263
24/06/2022;1091758
25/06/2022;969710
26/06/2022;928346
27/06/2022;1073182
28/06/2022;1096656
29/06/2022;1109363
30/06/2022;1107386
01/07/2022;1079223
02/07/2022;978979
03/07/2022;912453
04/07/2022;1093482
05/07/2022;1124151
06/07/2022;1121464
07/07/2022;1132824
08/07/2022;1125935
09/07/2022;1015830
10/07/2022;958237
11/07/2022;1126433
12/07/2022;1167529
13/07/2022;1171770
14/07/2022;1038888
15/07/2022;1079868
16/07/2022;1016070
17/07/2022;979079
18/07/2022;1163355
19/07/2022;1192506
20/07/2022;1167952
21/07/2022;1157908
22/07/2022;1142997
23/07/2022;1016158
24/07/2022;975654
25/07/2022;1109396
26/07/2022;1110263
27/07/2022;1101180
28/07/2022;1103194
29/07/2022;1076504
30/07/2022;975230
31/07/2022;932204
01/08/2022;1049786
02/08/2022;1077175
03/08/2022;1095531
04/08/2022;1087490
05/08/2022;1051588
06/08/2022;957464
07/08/2022;908079
08/08/2022;1008956
09/08/2022;1031598
10/08/2022;1040856
11/08/2022;1050190
12/08/2022;1051782
13/08/2022;966629
14/08/2022;892485
15/08/2022;903767
16/08/2022;1003111
17/08/2022;997791
18/08/2022;996085
19/08/2022;995968
20/08/2022;930768
21/08/2022;891041
22/08/2022;1027338
23/08/2022;1070524
24/08/2022;1089798
25/08/2022;1092815
26/08/2022;1075469
27/08/2022;963706
28/08/2022;915571
29/08/2022;1071957
30/08/2022;1104547
31/08/2022;1100485
01/09/2022;1103472
02/09/2022;1079944
03/09/2022;963089
04/09/2022;928164
05/09/2022;1083325
06/09/2022;1098261
07/09/2022;1090023
08/09/2022;1074426
09/09/2022;1064872
10/09/2022;953983
11/09/2022;910983
12/09/2022;1065869
13/09/2022;1100893
14/09/2022;1096860
15/09/2022;1083560
16/09/2022;1063284
17/09/2022;946415
18/09/2022;906863
19/09/2022;1050998
20/09/2022;1080667
21/09/2022;1080345
22/09/2022;1084868
23/09/2022;1075556
24/09/2022;963408
25/09/2022;920579
26/09/2022;1088350
27/09/2022;1125403
28/09/2022;1125486
29/09/2022;1118597
30/09/2022;1122452
01/10/2022;1014476
02/10/2022;942534
03/10/2022;1083500
04/10/2022;1107397
05/10/2022;1100443
06/10/2022;1092411
07/10/2022;1086609
08/10/2022;976778
09/10/2022;944004
10/10/2022;1078184
11/10/2022;1098361
12/10/2022;1111278
13/10/2022;1114724
14/10/2022;1098433
15/10/2022;976069
16/10/2022;929670
17/10/2022;1056251
18/10/2022;1067180
19/10/2022;1071389
20/10/2022;1071273
21/10/2022;1062480
22/10/2022;955098
23/10/2022;909964
24/10/2022;1055826
25/10/2022;1073716
26/10/2022;1068530
27/10/2022;1063846
28/10/2022;1050500
29/10/2022;936806
30/10/2022;897556
31/10/2022;978671
01/11/2022;947453
02/11/2022;1085094
03/11/2022;1137016
04/11/2022;1167503
05/11/2022;1098239
06/11/2022;1072359
07/11/2022;1184465
08/11/2022;1197687
09/11/2022;1196568
10/11/2022;1212250
11/11/2022;1093056
12/11/2022;1075815
13/11/2022;1055638
14/11/2022;1227031
15/11/2022;1247604
16/11/2022;1252169
17/11/2022;1246710
18/11/2022;1269537
19/11/2022;1204786
20/11/2022;1186302
21/11/2022;1374093
22/11/2022;1407183
23/11/2022;1396628
24/11/2022;1375445
25/11/2022;1347963
26/11/2022;1277073
27/11/2022;1241799
28/11/2022;1370812
29/11/2022;1443353
30/11/2022;1476614
01/12/2022;1518646
02/12/2022;1545535
03/12/2022;1452757
04/12/2022;1422095
05/12/2022;1593841
06/12/2022;1621821
07/12/2022;1625825
08/12/2022;1660810
09/12/2022;1650749
10/12/2022;1580611
11/12/2022;1619723
12/12/2022;1820878
13/12/2022;1816474
14/12/2022;1716183
15/12/2022;1713884
16/12/2022;1716481
17/12/2022;1690530
18/12/2022;1623769
19/12/2022;1531076
20/12/2022;1426057
21/12/2022;1365907
22/12/2022;1326166
23/12/2022;1228571
24/12/2022;1124328
25/12/2022;1062990
26/12/2022;1180057
27/12/2022;1286380
28/12/2022;1292956
29/12/2022;1256168
30/12/2022;1255385
31/12/2022;1109418
01/01/2023;1046620
02/01/2023;1202098
03/01/2023;1351531
04/01/2023;1380517
05/01/2023;1333960
06/01/2023;1331386
07/01/2023;1228953
08/01/2023;1206905
09/01/2023;1432132
10/01/2023;1478526
11/01/2023;1425024
12/01/2023;1433296
13/01/2023;1405729
14/01/2023;1299448
15/01/2023;1294862
16/01/2023;1538498
17/01/2023;1619860
18/01/2023;1687686
19/01/2023;1713391
20/01/2023;1728806
21/01/2023;1624911
22/01/2023;1664349
23/01/2023;1812450
24/01/2023;1791835
25/01/2023;1802532
26/01/2023;1780305
27/01/2023;1732317
28/01/2023;1618025
29/01/2023;1575816
30/01/2023;1693440
31/01/2023;1616833
01/02/2023;1579012
02/02/2023;1568464
03/02/2023;1535014
04/02/2023;1380240
05/02/2023;1334157
06/02/2023;1549255
07/02/2023;1611998
08/02/2023;1673545
09/02/2023;1708141
10/02/2023;1641669
11/02/2023;1490371
12/02/2023;1401519
13/02/2023;1543717
14/02/2023;1529249
15/02/2023;1496129
16/02/2023;1448816
17/02/2023;1377210
18/02/2023;1240223
19/02/2023;1187419
20/02/2023;1370742
21/02/2023;1392043
22/02/2023;1394664
23/02/2023;1425944
24/02/2023;1404254
25/02/2023;1351309
26/02/2023;1415165
27/02/2023;1654072
28/02/2023;1694064
01/03/2023;1670732
02/03/2023;1634352
03/03/2023;1582204
04/03/2023;1453484
05/03/2023;1386606
06/03/2023;1542145
07/03/2023;1520855
08/03/2023;1445370
09/03/2023;1350883
10/03/2023;1382118
11/03/2023;1274811
12/03/2023;1149315
13/03/2023;1227621
14/03/2023;1307582
15/03/2023;1342073
16/03/2023;1300512
17/03/2023;1246632
18/03/2023;1123056
19/03/2023;1097677
20/03/2023;1256011
21/03/2023;1246681
22/03/2023;1246483
23/03/2023;1195582
24/03/2023;1195200
25/03/2023;1119344
26/03/2023;1106048
27/03/2023;1283510
28/03/2023;1322749
29/03/2023;1227584
30/03/2023;1175633
31/03/2023;1200840
01/04/2023;1138984
02/04/2023;1141246
03/04/2023;1304630
04/04/2023;1343412
05/04/2023;1341598
06/04/2023;1284519
07/04/2023;1249393
08/04/2023;1132061
09/04/2023;1037156
10/04/2023;1043008
11/04/2023;1195880
12/04/2023;1246812
13/04/2023;1276653
14/04/2023;1293360
15/04/2023;1170497
16/04/2023;1107625
17/04/2023;1224437
18/04/2023;1214042
19/04/2023;1177172
20/04/2023;1179411
21/04/2023;1186619
22/04/2023;1068965
23/04/2023;1032389
24/04/2023;1172567
25/04/2023;1206188
26/04/2023;1199470
27/04/2023;1146367
28/04/2023;1096159
29/04/2023;990808
30/04/2023;942844
01/05/2023;934185
02/05/2023;1086301
03/05/2023;1092583
04/05/2023;1074921
05/05/2023;1060339
06/05/2023;951173
07/05/2023;902175
08/05/2023;926202
09/05/2023;1065170
10/05/2023;1098347
11/05/2023;1104009
12/05/2023;1104187
13/05/2023;991686
14/05/2023;946790
15/05/2023;1080530
16/05/2023;1112933
17/05/2023;1105164
18/05/2023;981725
19/05/2023;1001885
20/05/2023;945833
21/05/2023;907717
22/05/2023;1033412
23/05/2023;1052544
24/05/2023;1086597
25/05/2023;1057512
26/05/2023;1041507
27/05/2023;929942
28/05/2023;872066
29/05/2023;910238
30/05/2023;1029805
31/05/2023;1049815
01/06/2023;1041898
02/06/2023;1027431
03/06/2023;918424
04/06/2023;867827
05/06/2023;1008128
06/06/2023;1026875
07/06/2023;1036995
08/06/2023;1046234
09/06/2023;1041088
10/06/2023;934591
11/06/2023;891156
12/06/2023;1029225
13/06/2023;1046394
14/06/2023;1052894
15/06/2023;1057638
16/06/2023;1051980
17/06/2023;947648
18/06/2023;892761
19/06/2023;1031308
20/06/2023;1056896
21/06/2023;1065498
22/06/2023;1060067
23/06/2023;1045675
24/06/2023;944428
25/06/2023;907255
26/06/2023;1045800
27/06/2023;1057157
28/06/2023;1065712
29/06/2023;1075664
30/06/2023;1034300
01/07/2023;929466
02/07/2023;891067
03/07/2023;1036560
04/07/2023;1068333
05/07/2023;1073448
06/07/2023;1086265
07/07/2023;1090334
08/07/2023;996650
09/07/2023;944823
10/07/2023;1102767
11/07/2023;1137646
12/07/2023;1110050
13/07/2023;1087284
14/07/2023;964157
15/07/2023;957683
16/07/2023;918791
17/07/2023;1071724
18/07/2023;1116029
19/07/2023;1111657
20/07/2023;1105175
21/07/2023;1078336
22/07/2023;959235
23/07/2023;915127
24/07/2023;1038995
25/07/2023;1039608
26/07/2023;1039332
27/07/2023;1044416
28/07/2023;1033419
29/07/2023;932554
30/07/2023;879756
31/07/2023;971342
01/08/2023;999900
02/08/2023;1015654
03/08/2023;997089
04/08/2023;962425
05/08/2023;892297
06/08/2023;859880
07/08/2023;939447
08/08/2023;957088
09/08/2023;963736
10/08/2023;976683
11/08/2023;987240
12/08/2023;916491
13/08/2023;871776
14/08/2023;933985
15/08/2023;898744
16/08/2023;974120
17/08/2023;1003391
18/08/2023;1019534
19/08/2023;961208
20/08/2023;923939
21/08/2023;1060484
22/08/2023;1106706
23/08/2023;1125070
24/08/2023;1124314
25/08/2023;1072232
26/08/2023;945286
27/08/2023;882591
28/08/2023;1006164
29/08/2023;1032635
30/08/2023;1039336
31/08/2023;1051653
01/09/2023;1050031
02/09/2023;951230
03/09/2023;915183
04/09/2023;1064854
05/09/2023;1102818
06/09/2023;1109061
07/09/2023;1111574
08/09/2023;1113675
09/09/2023;975905
10/09/2023;975011
11/09/2023;1076655
12/09/2023;1070938
13/09/2023;1071887
14/09/2023;1070179
15/09/2023;1060791
16/09/2023;961283
17/09/2023;923579
18/09/2023;1051641
19/09/2023;1061849
20/09/2023;1068592
21/09/2023;1064315
22/09/2023;1043591
23/09/2023;934945
24/09/2023;899244
25/09/2023;1032837
26/09/2023;1048800
27/09/2023;1058198
28/09/2023;1061433
29/09/2023;1051910
30/09/2023;942859
01/10/2023;903430
02/10/2023;1049755
03/10/2023;1093621
04/10/2023;1043722
05/10/2023;1064370
06/10/2023;1059788
07/10/2023;948895
08/10/2023;901628
09/10/2023;1034960
10/10/2023;1059791
11/10/2023;1064336
12/10/2023;1062253
13/10/2023;1050831
14/10/2023;944674
15/10/2023;920107
16/10/2023;1092116
17/10/2023;1135100
18/10/2023;1140599
19/10/2023;1113394
20/10/2023;1098520
21/10/2023;1006650
22/10/2023;964382
23/10/2023;1133739
24/10/2023;1142015
25/10/2023;1156997
26/10/2023;1159595
27/10/2023;1155142
28/10/2023;1060149
29/10/2023;1005701
30/10/2023;1151752
31/10/2023;1164807
01/11/2023;1077506
02/11/2023;1189382
03/11/2023;1254706
04/11/2023;1172030
05/11/2023;1104186
06/11/2023;1269030
07/11/2023;1313348
08/11/2023;1352849
09/11/2023;1341153
10/11/2023;1367988
11/11/2023;1217431
12/11/2023;1173392
13/11/2023;1250117
14/11/2023;1255398
15/11/2023;1262154
16/11/2023;1320864
17/11/2023;1310617
18/11/2023;1206021
19/11/2023;1107137
20/11/2023;1291104
21/11/2023;1315575
22/11/2023;1364056
23/11/2023;1417543
24/11/2023;1385475
25/11/2023;1360351
26/11/2023;1389800
27/11/2023;1532541
28/11/2023;1516466
29/11/2023;1568687
30/11/2023;1540745
01/12/2023;1542005
02/12/2023;1547724
03/12/2023;1555898
04/12/2023;1631226
05/12/2023;1580371
06/12/2023;1605625
07/12/2023;1654866
08/12/2023;1520013
09/12/2023;1387206
10/12/2023;1292314
11/12/2023;1366942
12/12/2023;1366324
13/12/2023;1414996
14/12/2023;1477055
15/12/2023;1453806
16/12/2023;1389859
17/12/2023;1439839
18/12/2023;1620246
19/12/2023;1610580
20/12/2023;1534919
21/12/2023;1473861
22/12/2023;1378740
23/12/2023;1259713
24/12/2023;1198327
25/12/2023;1158071
26/12/2023;1275367
27/12/2023;1327874
28/12/2023;1315878
29/12/2023;1290724
30/12/2023;1224228
31/12/2023;1238675
01/01/2024;1237645
02/01/2024;1361332
03/01/2024;1379638
04/01/2024;1394084
05/01/2024;1426408
06/01/2024;1393469
07/01/2024;1446879
08/01/2024;1742502
09/01/2024;1862873
10/01/2024;1876785
11/01/2024;1843548
12/01/2024;1818394
13/01/2024;1735975
14/01/2024;1683644
15/01/2024;1731177
16/01/2024;1771890
17/01/2024;1693737
18/01/2024;1668978
19/01/2024;1779739
20/01/2024;1737591
21/01/2024;1633292
22/01/2024;1621271
23/01/2024;1548858
24/01/2024;1440256
25/01/2024;1415383
26/01/2024;1405525
27/01/2024;1366601
28/01/2024;1362569
29/01/2024;1451603
30/01/2024;1441343
31/01/2024;1454146