Date;Number of flights
6 août 2021;3 332
7 août 2021;3 135
8 août 2021;3 192
9 août 2021;3 118
10 août 2021;2 896
11 août 2021;3 019
12 août 2021;3 115
13 août 2021;3 422
14 août 2021;3 224
15 août 2021;3 197
16 août 2021;3 284
17 août 2021;2 967
18 août 2021;3 114
19 août 2021;3 204
20 août 2021;3 602
21 août 2021;3 230
22 août 2021;3 392
23 août 2021;3 404
24 août 2021;3 112
25 août 2021;3 299
26 août 2021;3 369
27 août 2021;3 687
28 août 2021;3 417
29 août 2021;3 547
30 août 2021;3 569
31 août 2021;3 395
1 sept 2021;3 477
2 sept 2021;3 556
3 sept 2021;3 858
4 sept 2021;3 462
5 sept 2021;3 805
6 sept 2021;3 706
7 sept 2021;3 299
8 sept 2021;3 373
9 sept 2021;3 594
10 sept 2021;3 934
11 sept 2021;3 426
12 sept 2021;3 721
13 sept 2021;3 768
14 sept 2021;3 244
15 sept 2021;3 461
16 sept 2021;3 551
17 sept 2021;3 992
18 sept 2021;3 371
19 sept 2021;3 766
20 sept 2021;3 749
21 sept 2021;3 308
22 sept 2021;3 404
23 sept 2021;3 687
24 sept 2021;3 977
25 sept 2021;3 409
26 sept 2021;3 726
27 sept 2021;3 716
28 sept 2021;3 192
29 sept 2021;3 394
30 sept 2021;3 534
1 oct 2021;4 061
2 oct 2021;3 290
3 oct 2021;3 748
4 oct 2021;3 779
5 oct 2021;3 201
6 oct 2021;3 364
7 oct 2021;3 570
8 oct 2021;4 083
9 oct 2021;3 279
10 oct 2021;3 662
11 oct 2021;3 736
12 oct 2021;3 276
13 oct 2021;3 379
14 oct 2021;3 630
15 oct 2021;4 115
16 oct 2021;3 495
17 oct 2021;3 744
18 oct 2021;3 715
19 oct 2021;3 216
20 oct 2021;3 382
21 oct 2021;3 685
22 oct 2021;4 251
23 oct 2021;3 530
24 oct 2021;3 799
25 oct 2021;3 738
26 oct 2021;3 218
27 oct 2021;3 449
28 oct 2021;3 590
29 oct 2021;4 106
30 oct 2021;3 561
31 oct 2021;4 001
1 nov 2021;3 823
2 nov 2021;3 273
3 nov 2021;3 295
4 nov 2021;3 515
5 nov 2021;3 861
6 nov 2021;2 952
7 nov 2021;3 484
8 nov 2021;3 524
9 nov 2021;3 079
10 nov 2021;3 097
11 nov 2021;3 376
12 nov 2021;3 744
13 nov 2021;2 755
14 nov 2021;3 414
15 nov 2021;3 517
16 nov 2021;3 084
17 nov 2021;3 072
18 nov 2021;3 306
19 nov 2021;3 768
20 nov 2021;2 803
21 nov 2021;3 323
22 nov 2021;3 475
23 nov 2021;3 022
24 nov 2021;3 051
25 nov 2021;3 409
26 nov 2021;3 546
27 nov 2021;2 604
28 nov 2021;3 259
29 nov 2021;3 555
30 nov 2021;2 953
1 déc 2021;3 025
2 déc 2021;3 367
3 déc 2021;3 622
4 déc 2021;2 812
5 déc 2021;3 291
6 déc 2021;3 477
7 déc 2021;2 765
8 déc 2021;3 051
9 déc 2021;3 348
10 déc 2021;3 888
11 déc 2021;3 067
12 déc 2021;3 512
13 déc 2021;3 655
14 déc 2021;3 291
15 déc 2021;3 504
16 déc 2021;3 848
17 déc 2021;4 446
18 déc 2021;3 467
19 déc 2021;3 709
20 déc 2021;4 021
21 déc 2021;3 581
22 déc 2021;3 667
23 déc 2021;3 767
24 déc 2021;2 849
25 déc 2021;934
26 déc 2021;3 135
27 déc 2021;3 568
28 déc 2021;3 238
29 déc 2021;3 224
30 déc 2021;3 358
31 déc 2021;2 904
1 janv 2022;2 501
2 janv 2022;3 685
3 janv 2022;3 745
4 janv 2022;3 313
5 janv 2022;3 166
6 janv 2022;3 113
7 janv 2022;3 483
8 janv 2022;3 016
9 janv 2022;3 465
10 janv 2022;2 588
11 janv 2022;2 187
12 janv 2022;2 153
13 janv 2022;2 427
14 janv 2022;2 752
15 janv 2022;2 312
16 janv 2022;2 681
17 janv 2022;2 410
18 janv 2022;2 037
19 janv 2022;2 084
20 janv 2022;2 408
21 janv 2022;2 801
22 janv 2022;2 361
23 janv 2022;2 697
24 janv 2022;2 397
25 janv 2022;2 040
26 janv 2022;2 093
27 janv 2022;2 413
28 janv 2022;2 769
29 janv 2022;2 261
30 janv 2022;2 670
31 janv 2022;2 429
1 févr 2022;2 434
2 févr 2022;2 580
3 févr 2022;2 848
4 févr 2022;3 238
5 févr 2022;2 762
6 févr 2022;3 214
7 févr 2022;3 037
8 févr 2022;2 638
9 févr 2022;2 668
10 févr 2022;3 325
11 févr 2022;3 989
12 févr 2022;3 602
13 févr 2022;3 537
14 févr 2022;3 422
15 févr 2022;2 960
16 févr 2022;2 879
17 févr 2022;3 389
18 févr 2022;2 902
19 févr 2022;3 819
20 févr 2022;3 743
21 févr 2022;3 383
22 févr 2022;3 083
23 févr 2022;3 066
24 févr 2022;3 421
25 févr 2022;3 863
26 févr 2022;3 202
27 févr 2022;3 754
28 févr 2022;3 659
1 mars 2022;3 243
2 mars 2022;3 338
3 mars 2022;3 641
4 mars 2022;4 074
5 mars 2022;3 437
6 mars 2022;3 805
7 mars 2022;3 793
8 mars 2022;3 400
9 mars 2022;3 367
10 mars 2022;3 807
11 mars 2022;4 111
12 mars 2022;3 453
13 mars 2022;3 921
14 mars 2022;3 883
15 mars 2022;3 516
16 mars 2022;3 501
17 mars 2022;3 842
18 mars 2022;4 239
19 mars 2022;3 550
20 mars 2022;3 913
21 mars 2022;3 908
22 mars 2022;3 473
23 mars 2022;3 553
24 mars 2022;3 813
25 mars 2022;4 227
26 mars 2022;3 573
27 mars 2022;4 390
28 mars 2022;4 748
29 mars 2022;4 578
30 mars 2022;4 397
31 mars 2022;4 616
1 avr 2022;4 916
2 avr 2022;4 337
3 avr 2022;4 524
4 avr 2022;4 835
5 avr 2022;4 582
6 avr 2022;4 761
7 avr 2022;4 874
8 avr 2022;5 095
9 avr 2022;4 518
10 avr 2022;4 718
11 avr 2022;4 956
12 avr 2022;4 791
13 avr 2022;4 752
14 avr 2022;5 042
15 avr 2022;4 895
16 avr 2022;4 309
17 avr 2022;4 550
18 avr 2022;4 929
19 avr 2022;4 920
20 avr 2022;4 845
21 avr 2022;4 894
22 avr 2022;5 119
23 avr 2022;4 266
24 avr 2022;4 737
25 avr 2022;4 956
26 avr 2022;4 854
27 avr 2022;4 830
28 avr 2022;5 060
29 avr 2022;5 351
30 avr 2022;4 451
1 mai 2022;4 870
2 mai 2022;5 274
3 mai 2022;5 131
4 mai 2022;5 098
5 mai 2022;5 388
6 mai 2022;5 575
7 mai 2022;4 675
8 mai 2022;5 148
9 mai 2022;5 402
10 mai 2022;5 193
11 mai 2022;5 227
12 mai 2022;5 428
13 mai 2022;5 636
14 mai 2022;4 851
15 mai 2022;5 169
16 mai 2022;5 417
17 mai 2022;5 294
18 mai 2022;5 315
19 mai 2022;5 540
20 mai 2022;5 610
21 mai 2022;4 929
22 mai 2022;5 309
23 mai 2022;5 572
24 mai 2022;5 383
25 mai 2022;5 530
26 mai 2022;5 724
27 mai 2022;6 130
28 mai 2022;5 387
29 mai 2022;5 446
30 mai 2022;5 826
31 mai 2022;5 522
1 juin 2022;5 723
2 juin 2022;5 635
3 juin 2022;5 612
4 juin 2022;5 177
5 juin 2022;5 679
6 juin 2022;5 970
7 juin 2022;5 699
8 juin 2022;5 609
9 juin 2022;5 882
10 juin 2022;5 989
11 juin 2022;5 205
12 juin 2022;5 570
13 juin 2022;5 913
14 juin 2022;5 726
15 juin 2022;5 737
16 juin 2022;5 861
17 juin 2022;5 898
18 juin 2022;5 098
19 juin 2022;5 536
20 juin 2022;5 791
21 juin 2022;5 732
22 juin 2022;5 669
23 juin 2022;5 792
24 juin 2022;5 907
25 juin 2022;5 144
26 juin 2022;5 484
27 juin 2022;5 838
28 juin 2022;5 724
29 juin 2022;5 761
30 juin 2022;5 716
1 juil 2022;6 028
2 juil 2022;5 259
3 juil 2022;5 586
4 juil 2022;5 883
5 juil 2022;5 733
6 juil 2022;5 823
7 juil 2022;5 907
8 juil 2022;6 084
9 juil 2022;5 423
10 juil 2022;5 608
11 juil 2022;5 848
12 juil 2022;5 752
13 juil 2022;5 762
14 juil 2022;5 845
15 juil 2022;5 966
16 juil 2022;5 388
17 juil 2022;5 552
18 juil 2022;5 827
19 juil 2022;5 616
20 juil 2022;5 666
21 juil 2022;5 819
22 juil 2022;5 985
23 juil 2022;5 375
24 juil 2022;5 497
25 juil 2022;5 725
26 juil 2022;5 598
27 juil 2022;5 527
28 juil 2022;5 702
29 juil 2022;5 890
30 juil 2022;5 371
31 juil 2022;5 490
1 août 2022;5 735
2 août 2022;5 562
3 août 2022;5 564
4 août 2022;5 608
5 août 2022;5 801
6 août 2022;5 306
7 août 2022;5 443
8 août 2022;5 662
9 août 2022;5 517
10 août 2022;5 521
11 août 2022;5 635
12 août 2022;5 769
13 août 2022;5 244
14 août 2022;5 448
15 août 2022;5 637
16 août 2022;5 612
17 août 2022;5 350
18 août 2022;5 640
19 août 2022;5 826
20 août 2022;5 303
21 août 2022;5 449
22 août 2022;5 702
23 août 2022;5 490
24 août 2022;5 675
25 août 2022;5 720
26 août 2022;5 921
27 août 2022;5 276
28 août 2022;5 545
29 août 2022;5 696
30 août 2022;5 773
31 août 2022;5 715
1 sept 2022;5 881
2 sept 2022;5 945
3 sept 2022;5 343
4 sept 2022;5 606
5 sept 2022;5 826
6 sept 2022;5 633
7 sept 2022;5 697
8 sept 2022;5 597
9 sept 2022;5 783
10 sept 2022;5 158
11 sept 2022;5 535
12 sept 2022;5 768
13 sept 2022;5 639
14 sept 2022;5 674
15 sept 2022;5 812
16 sept 2022;5 477
17 sept 2022;5 257
18 sept 2022;5 518
19 sept 2022;5 255
20 sept 2022;5 606
21 sept 2022;5 623
22 sept 2022;5 812
23 sept 2022;5 918
24 sept 2022;5 061
25 sept 2022;5 446
26 sept 2022;5 749
27 sept 2022;5 491
28 sept 2022;5 497
29 sept 2022;5 517
30 sept 2022;5 635
1 oct 2022;4 933
2 oct 2022;5 334
3 oct 2022;5 590
4 oct 2022;5 351
5 oct 2022;5 292
6 oct 2022;5 593
7 oct 2022;5 661
8 oct 2022;4 889
9 oct 2022;5 233
10 oct 2022;5 508
11 oct 2022;5 377
12 oct 2022;5 349
13 oct 2022;5 479
14 oct 2022;5 678
15 oct 2022;4 903
16 oct 2022;5 254
17 oct 2022;5 410
18 oct 2022;5 286
19 oct 2022;5 235
20 oct 2022;5 409
21 oct 2022;5 419
22 oct 2022;4 974
23 oct 2022;4 883
24 oct 2022;5 342
25 oct 2022;5 306
26 oct 2022;5 222
27 oct 2022;5 516
28 oct 2022;5 653
29 oct 2022;4 909
30 oct 2022;5 086
31 oct 2022;5 133
1 nov 2022;4 410
2 nov 2022;4 305
3 nov 2022;4 662
4 nov 2022;4 877
5 nov 2022;3 915
6 nov 2022;4 496
7 nov 2022;4 653
8 nov 2022;4 152
9 nov 2022;4 148
10 nov 2022;4 531
11 nov 2022;4 733
12 nov 2022;3 810
13 nov 2022;4 409
14 nov 2022;4 454
15 nov 2022;4 092
16 nov 2022;4 004
17 nov 2022;4 313
18 nov 2022;4 704
19 nov 2022;3 713
20 nov 2022;4 352
21 nov 2022;4 459
22 nov 2022;3 899
23 nov 2022;3 872
24 nov 2022;4 226
25 nov 2022;4 661
26 nov 2022;3 551
27 nov 2022;4 281
28 nov 2022;4 486
29 nov 2022;3 939
30 nov 2022;4 074
1 déc 2022;4 266
2 déc 2022;4 767
3 déc 2022;3 699
4 déc 2022;4 411
5 déc 2022;4 649
6 déc 2022;4 275
7 déc 2022;4 261
8 déc 2022;4 580
9 déc 2022;4 745
10 déc 2022;3 871
11 déc 2022;3 758
12 déc 2022;4 135
13 déc 2022;4 192
14 déc 2022;4 305
15 déc 2022;4 493
16 déc 2022;4 892
17 déc 2022;4 311
18 déc 2022;4 439
19 déc 2022;4 742
20 déc 2022;4 601
21 déc 2022;4 625
22 déc 2022;4 794
23 déc 2022;4 858
24 déc 2022;3 483
25 déc 2022;1 452
26 déc 2022;4 132
27 déc 2022;4 416
28 déc 2022;4 307
29 déc 2022;4 490
30 déc 2022;4 583
31 déc 2022;3 664
1 janv 2023;3 735
2 janv 2023;4 722
3 janv 2023;4 454
4 janv 2023;4 408
5 janv 2023;4 484
6 janv 2023;4 728
7 janv 2023;4 179
8 janv 2023;4 438
9 janv 2023;4 450
10 janv 2023;3 720
11 janv 2023;3 770
12 janv 2023;4 098
13 janv 2023;4 522
14 janv 2023;3 875
15 janv 2023;4 267
16 janv 2023;4 253
17 janv 2023;3 633
18 janv 2023;3 695
19 janv 2023;4 044
20 janv 2023;4 626
21 janv 2023;3 897
22 janv 2023;4 256
23 janv 2023;4 210
24 janv 2023;3 673
25 janv 2023;3 605
26 janv 2023;4 146
27 janv 2023;4 498
28 janv 2023;3 780
29 janv 2023;4 242
30 janv 2023;4 299
31 janv 2023;3 708
1 févr 2023;3 817
2 févr 2023;4 154
3 févr 2023;4 627
4 févr 2023;3 929
5 févr 2023;4 398
6 févr 2023;4 465
7 févr 2023;3 707
8 févr 2023;3 858
9 févr 2023;4 465
10 févr 2023;5 120
11 févr 2023;4 523
12 févr 2023;4 601
13 févr 2023;4 687
14 févr 2023;3 986
15 févr 2023;4 213
16 févr 2023;4 521
17 févr 2023;4 793
18 févr 2023;4 638
19 févr 2023;4 969
20 févr 2023;4 764
21 févr 2023;4 159
22 févr 2023;4 154
23 févr 2023;4 529
24 févr 2023;4 948
25 févr 2023;4 264
26 févr 2023;4 703
27 févr 2023;4 815
28 févr 2023;4 273
1 mars 2023;4 353
2 mars 2023;4 588
3 mars 2023;4 937
4 mars 2023;4 262
5 mars 2023;4 624
6 mars 2023;4 748
7 mars 2023;4 156
8 mars 2023;4 002
9 mars 2023;4 527
10 mars 2023;4 763
11 mars 2023;4 248
12 mars 2023;4 743
13 mars 2023;4 575
14 mars 2023;4 379
15 mars 2023;4 415
16 mars 2023;4 672
17 mars 2023;5 066
18 mars 2023;4 307
19 mars 2023;4 781
20 mars 2023;4 768
21 mars 2023;4 308
22 mars 2023;4 351
23 mars 2023;4 669
24 mars 2023;4 994
25 mars 2023;4 214
26 mars 2023;4 785
27 mars 2023;4 947
28 mars 2023;4 836
29 mars 2023;5 036
30 mars 2023;5 347
31 mars 2023;5 319
1 avr 2023;4 818
2 avr 2023;5 065
3 avr 2023;5 282
4 avr 2023;5 216
5 avr 2023;5 221
6 avr 2023;5 484
7 avr 2023;5 277
8 avr 2023;4 686
9 avr 2023;4 968
10 avr 2023;5 171
11 avr 2023;5 162
12 avr 2023;5 105
13 avr 2023;5 420
14 avr 2023;5 520
15 avr 2023;4 856
16 avr 2023;5 215
17 avr 2023;5 439
18 avr 2023;5 271
19 avr 2023;5 311
20 avr 2023;5 483
21 avr 2023;5 556
22 avr 2023;4 713
23 avr 2023;5 105
24 avr 2023;5 410
25 avr 2023;5 233
26 avr 2023;5 284
27 avr 2023;5 510
28 avr 2023;5 680
29 avr 2023;4 776
30 avr 2023;5 100
1 mai 2023;5 341
2 mai 2023;5 489
3 mai 2023;5 501
4 mai 2023;5 846
5 mai 2023;5 920
6 mai 2023;4 988
7 mai 2023;5 346
8 mai 2023;5 590
9 mai 2023;5 484
10 mai 2023;5 526
11 mai 2023;5 869
12 mai 2023;5 937
13 mai 2023;5 112
14 mai 2023;5 466
15 mai 2023;5 798
16 mai 2023;5 632
17 mai 2023;5 640
18 mai 2023;5 893
19 mai 2023;5 807
20 mai 2023;5 118
21 mai 2023;5 492
22 mai 2023;5 836
23 mai 2023;5 731
24 mai 2023;5 809
25 mai 2023;6 106
26 mai 2023;6 315
27 mai 2023;5 545
28 mai 2023;5 593
29 mai 2023;5 865
30 mai 2023;5 844
31 mai 2023;5 912
1 juin 2023;6 128
2 juin 2023;6 145
3 juin 2023;5 470
4 juin 2023;5 930
5 juin 2023;6 098
6 juin 2023;5 841
7 juin 2023;6 057
8 juin 2023;6 196
9 juin 2023;6 305
10 juin 2023;5 530
11 juin 2023;5 799
12 juin 2023;5 927
13 juin 2023;5 979
14 juin 2023;6 123
15 juin 2023;6 264
16 juin 2023;6 370
17 juin 2023;5 533
18 juin 2023;5 623
19 juin 2023;6 154
20 juin 2023;5 916
21 juin 2023;6 136
22 juin 2023;6 283
23 juin 2023;6 384
24 juin 2023;5 527
25 juin 2023;5 955
26 juin 2023;6 274
27 juin 2023;6 076
28 juin 2023;6 099
29 juin 2023;6 296
30 juin 2023;6 379
1 juil 2023;5 714
2 juil 2023;6 018
3 juil 2023;6 204
4 juil 2023;6 080
5 juil 2023;6 035
6 juil 2023;6 407
7 juil 2023;6 538
8 juil 2023;5 621
9 juil 2023;6 052
10 juil 2023;6 335
11 juil 2023;6 134
12 juil 2023;6 173
13 juil 2023;6 379
14 juil 2023;6 411
15 juil 2023;5 595
16 juil 2023;6 090
17 juil 2023;6 399
18 juil 2023;6 133
19 juil 2023;6 156
20 juil 2023;6 326
21 juil 2023;6 437
22 juil 2023;5 672
23 juil 2023;6 009
24 juil 2023;6 177
25 juil 2023;6 034
26 juil 2023;6 138
27 juil 2023;6 290
28 juil 2023;6 390
29 juil 2023;5 688
30 juil 2023;5 997
31 juil 2023;6 178
1 août 2023;6 040
2 août 2023;5 979
3 août 2023;6 254
4 août 2023;6 347
5 août 2023;5 651
6 août 2023;5 978
7 août 2023;6 152
8 août 2023;5 968
9 août 2023;6 059
10 août 2023;6 197
11 août 2023;6 333
12 août 2023;5 641
13 août 2023;5 936
14 août 2023;6 087
15 août 2023;5 975
16 août 2023;5 968
17 août 2023;6 163
18 août 2023;6 176
19 août 2023;5 579
20 août 2023;5 978
21 août 2023;6 160
22 août 2023;6 029
23 août 2023;6 180
24 août 2023;6 060
25 août 2023;6 346
26 août 2023;5 636
27 août 2023;5 873
28 août 2023;4 365
29 août 2023;6 319
30 août 2023;6 364
31 août 2023;6 488
1 sept 2023;6 470
2 sept 2023;5 675
3 sept 2023;6 148
4 sept 2023;6 317
5 sept 2023;6 114
6 sept 2023;6 094
7 sept 2023;6 377
8 sept 2023;6 402
9 sept 2023;5 586
10 sept 2023;6 053
11 sept 2023;6 282
12 sept 2023;6 092
13 sept 2023;6 165
14 sept 2023;6 305
15 sept 2023;6 416
16 sept 2023;5 606
17 sept 2023;5 855
18 sept 2023;6 208
19 sept 2023;6 026
20 sept 2023;6 046
21 sept 2023;6 316
22 sept 2023;6 369
23 sept 2023;5 531
24 sept 2023;5 918
25 sept 2023;6 066
26 sept 2023;5 996
27 sept 2023;5 963
28 sept 2023;6 242
29 sept 2023;6 319
30 sept 2023;5 437
1 oct 2023;5 796
2 oct 2023;6 012
3 oct 2023;5 907
4 oct 2023;5 892
5 oct 2023;6 142
6 oct 2023;6 249
7 oct 2023;5 329
8 oct 2023;5 813
9 oct 2023;5 963
10 oct 2023;5 742
11 oct 2023;5 614
12 oct 2023;6 134
13 oct 2023;5 994
14 oct 2023;5 379
15 oct 2023;5 737
16 oct 2023;6 054
17 oct 2023;5 692
18 oct 2023;5 686
19 oct 2023;5 839
20 oct 2023;5 913
21 oct 2023;5 299
22 oct 2023;5 651
23 oct 2023;5 818
24 oct 2023;5 571
25 oct 2023;5 709
26 oct 2023;5 915
27 oct 2023;6 049
28 oct 2023;5 264
29 oct 2023;5 549
30 oct 2023;5 618
31 oct 2023;5 169
1 nov 2023;4 832
2 nov 2023;4 773
3 nov 2023;5 514
4 nov 2023;4 395
5 nov 2023;5 046
6 nov 2023;5 176
7 nov 2023;4 370
8 nov 2023;4 354
9 nov 2023;4 754
10 nov 2023;5 218
11 nov 2023;4 104
12 nov 2023;4 799
13 nov 2023;4 866
14 nov 2023;4 219
15 nov 2023;4 276
16 nov 2023;4 751
17 nov 2023;5 262
18 nov 2023;3 975
19 nov 2023;4 661
20 nov 2023;4 924
21 nov 2023;4 201
22 nov 2023;4 255
23 nov 2023;4 655
24 nov 2023;5 105
25 nov 2023;4 028
26 nov 2023;4 784
27 nov 2023;5 040
28 nov 2023;4 287
29 nov 2023;4 369
30 nov 2023;4 759
1 déc 2023;5 259
2 déc 2023;3 858
3 déc 2023;4 807
4 déc 2023;5 003
5 déc 2023;4 358
6 déc 2023;4 428
7 déc 2023;4 709
8 déc 2023;5 338
9 déc 2023;4 199
10 déc 2023;4 921
11 déc 2023;5 198
12 déc 2023;4 483
13 déc 2023;4 586
14 déc 2023;5 104
15 déc 2023;5 620
16 déc 2023;4 720
17 déc 2023;5 168
18 déc 2023;5 310
19 déc 2023;4 912
20 déc 2023;4 908
21 déc 2023;4 933
22 déc 2023;5 438
23 déc 2023;4 844
24 déc 2023;3 812
25 déc 2023;1 656
26 déc 2023;4 120
27 déc 2023;4 669
28 déc 2023;4 971
29 déc 2023;5 178
30 déc 2023;4 678
31 déc 2023;4 269
1 janv 2024;4 232
2 janv 2024;4 693
3 janv 2024;4 701
4 janv 2024;4 921
5 janv 2024;5 140
6 janv 2024;4 645
7 janv 2024;4 913
8 janv 2024;4 664
9 janv 2024;3 785
10 janv 2024;3 797
11 janv 2024;4 195
12 janv 2024;4 813
13 janv 2024;4 115
14 janv 2024;4 571
15 janv 2024;4 431
16 janv 2024;3 595
17 janv 2024;3 525
18 janv 2024;4 105
19 janv 2024;4 787
20 janv 2024;4 044
21 janv 2024;4 004
22 janv 2024;4 539
23 janv 2024;3 590
24 janv 2024;3 660
25 janv 2024;4 233
26 janv 2024;4 841
27 janv 2024;4 031
28 janv 2024;4 527
29 janv 2024;4 575
30 janv 2024;3 793
31 janv 2024;3 773
1 févr 2024;4 316
2 févr 2024;4 885
3 févr 2024;4 195
4 févr 2024;4 723
5 févr 2024;4 829
6 févr 2024;3 960
7 févr 2024;3 951
8 févr 2024;4 574
9 févr 2024;5 474
10 févr 2024;4 840
11 févr 2024;5 039
12 févr 2024;4 982
13 févr 2024;4 194
14 févr 2024;4 247
15 févr 2024;4 773
16 févr 2024;5 293
17 févr 2024;4 899
18 févr 2024;5 278
19 févr 2024;5 089
20 févr 2024;4 159
21 févr 2024;4 195
22 févr 2024;4 775
23 févr 2024;5 235
24 févr 2024;4 575
25 févr 2024;4 981